               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,             0.05642,            0.028419,            0.013385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086005,           0.0086005,           0.0086005
                   4,            0.053998,            0.027079,            0.010473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086005,           0.0086005,           0.0086005
                   5,            0.052058,             0.02577,            0.009119,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081506,           0.0081506,           0.0081506
                   6,            0.050639,            0.024748,           0.0083954,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077008,           0.0077008,           0.0077008
                   7,            0.049604,            0.023969,           0.0078734,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072509,           0.0072509,           0.0072509
                   8,            0.048702,            0.023231,           0.0075783,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068011,           0.0068011,           0.0068011
                   9,            0.048079,            0.022779,           0.0074734,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063512,           0.0063512,           0.0063512
                  10,            0.047393,            0.022102,           0.0070749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059014,           0.0059014,           0.0059014
                  11,            0.046729,            0.021396,           0.0068722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054515,           0.0054515,           0.0054515
                  12,             0.04607,            0.020847,           0.0066921,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050017,           0.0050017,           0.0050017
                  13,            0.045485,            0.020293,           0.0065466,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045518,           0.0045518,           0.0045518
                  14,            0.044859,            0.019644,           0.0064097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004102,            0.004102,            0.004102
                  15,            0.044269,            0.018982,           0.0062695,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036521,           0.0036521,           0.0036521
                  16,            0.043677,            0.018325,           0.0061388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032023,           0.0032023,           0.0032023
                  17,            0.043031,             0.01761,           0.0059953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027524,           0.0027524,           0.0027524
                  18,            0.042371,            0.016931,           0.0058534,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023026,           0.0023026,           0.0023026
                  19,            0.041663,            0.016138,           0.0057134,             0.76699,             0.77991,             0.76837,             0.61165,             0.04124,            0.021609,            0.016914,           0.0018527,           0.0018527,           0.0018527
                   0,            0.095821,            0.045169,              0.0316,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.045962,           0.0034023,           0.0034023
                   1,            0.078749,            0.038177,            0.025426,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.026132,           0.0065004,           0.0065004
                   2,            0.074765,            0.036105,            0.020455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088474,           0.0088474,           0.0088474
                   3,            0.070776,            0.034027,            0.016321,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088474,           0.0088474,           0.0088474
                   4,            0.067356,            0.032083,            0.014258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084112,           0.0084112,           0.0084112
                   5,            0.065312,            0.030665,            0.012782,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079749,           0.0079749,           0.0079749
                   6,            0.063795,             0.02956,            0.011184,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075386,           0.0075386,           0.0075386
                   7,            0.062712,            0.028674,           0.0092126,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071023,           0.0071023,           0.0071023
                   8,            0.061643,              0.0278,           0.0078189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066661,           0.0066661,           0.0066661
                   9,            0.060628,            0.026846,           0.0071155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062298,           0.0062298,           0.0062298
                  10,             0.05973,            0.026085,           0.0066837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057935,           0.0057935,           0.0057935
                  11,            0.058932,            0.025295,           0.0063631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053572,           0.0053572,           0.0053572
                  12,            0.058149,            0.024609,           0.0060929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049209,           0.0049209,           0.0049209
                  13,            0.057364,            0.023732,           0.0058502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044847,           0.0044847,           0.0044847
                  14,            0.056611,            0.022959,           0.0056427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040484,           0.0040484,           0.0040484
                  15,            0.055953,            0.022218,           0.0054592,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036121,           0.0036121,           0.0036121
                  16,            0.055253,            0.021402,           0.0052873,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031758,           0.0031758,           0.0031758
                  17,            0.054532,             0.02053,           0.0051258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027396,           0.0027396,           0.0027396
                  18,            0.053805,            0.019775,           0.0049549,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023033,           0.0023033,           0.0023033
                  19,            0.053074,            0.018909,           0.0047939,             0.69718,             0.79305,             0.75449,             0.59518,            0.053418,            0.027184,            0.010654,            0.001867,            0.001867,            0.001867
