   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77908,             0.78961,              0.7839,             0.62167,             0.04117,            0.021504,             0.01693,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.3,                   1,                 0.7,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.76202,             0.79474,             0.77525,             0.61709,             0.04185,            0.023814,             0.01563,             0.01037,             0.10231,               0.937,             0.00051,              3.0258,             0.76468,             0.09906,                0.05,             0.27745,             0.98747,             0.72759,              1.0798,                 0.2,              4.0727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.7649
             0.76699,             0.77991,             0.76837,             0.61165,             0.04124,            0.021609,            0.016914,             0.00995,             0.09578,             0.94213,             0.00047,              3.0002,             0.85495,             0.10303,             0.05111,             0.28041,              1.0168,              0.7393,             0.91929,                 0.2,              3.8694,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.4609
             0.69718,             0.79305,             0.75449,             0.59518,            0.053418,            0.027184,            0.010654,             0.00972,             0.10231,             0.90912,             0.00036,              2.8559,             0.76468,             0.06548,             0.06097,             0.20961,             0.83223,             0.76357,              1.0798,                 0.2,              4.5474,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.0208
             0.77838,              0.7866,             0.77832,             0.61944,            0.041378,             0.02169,            0.016492,             0.00995,             0.09578,             0.94164,             0.00047,              2.9991,             0.85495,             0.10298,             0.05118,             0.27987,              1.0182,             0.73894,             0.91974,                 0.2,              3.8702,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.4564
             0.76968,             0.78789,             0.77807,             0.59433,            0.018607,            0.020324,            0.015784,             0.00951,             0.11135,             0.89767,             0.00057,              2.5173,             0.68545,             0.12446,             0.02577,             0.28041,              1.0168,              0.6773,              1.1619,                 0.2,              2.9127,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.5914
             0.75319,             0.78337,             0.76237,             0.60642,            0.040291,            0.021686,            0.016238,             0.00995,             0.09897,             0.93811,             0.00046,              3.0032,             0.82397,             0.10303,             0.04916,             0.28041,              1.0007,             0.74168,             0.90267,                 0.2,              3.9501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.7027
             0.75537,             0.78757,             0.76604,             0.60635,            0.041585,            0.022401,            0.015445,             0.01018,             0.09578,             0.92228,             0.00051,              3.3502,             0.83616,             0.10303,             0.05111,             0.26573,              1.0043,             0.77386,             0.89525,                 0.2,              3.7499,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.1711
             0.75851,             0.78832,             0.77064,             0.61924,            0.045232,            0.022297,            0.014213,             0.01041,             0.09578,             0.95467,             0.00043,               2.843,             0.92286,             0.10276,             0.05967,             0.26417,             0.94484,             0.79809,              0.9389,                 0.2,              3.7369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              4.3155
