               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038769,            0.012571,           0.0055797,             0.78614,             0.75195,             0.75467,             0.60096,            0.038406,            0.011787,             0.01234,            0.009676,            0.009676,            0.009676
                  38,            0.038799,            0.012626,           0.0057051,             0.78612,             0.75242,              0.7548,              0.6012,            0.038383,            0.011775,             0.01235,            0.009667,            0.009667,            0.009667
                  39,            0.038569,            0.012471,           0.0054248,             0.78656,             0.75319,             0.75488,             0.60178,            0.038363,            0.011765,            0.012351,            0.009658,            0.009658,            0.009658
                  40,            0.038584,            0.012491,           0.0054416,             0.78714,             0.75352,             0.75482,             0.60181,             0.03834,            0.011754,            0.012371,            0.009649,            0.009649,            0.009649
                  41,            0.038657,            0.012563,           0.0056344,             0.78755,             0.75355,             0.75429,             0.60169,            0.038316,            0.011743,            0.012403,             0.00964,             0.00964,             0.00964
                  42,            0.038573,            0.012506,            0.005432,             0.78753,             0.75379,             0.75422,             0.60184,            0.038292,            0.011734,            0.012403,            0.009631,            0.009631,            0.009631
                  43,             0.03836,            0.012356,           0.0053732,             0.78802,             0.75276,             0.75405,             0.60199,            0.038267,            0.011725,            0.012424,            0.009622,            0.009622,            0.009622
                  44,            0.038385,            0.012389,           0.0056264,             0.78822,             0.75298,             0.75365,             0.60218,             0.03824,            0.011714,            0.012456,            0.009613,            0.009613,            0.009613
                  45,            0.038367,            0.012387,           0.0053954,             0.78882,             0.75272,             0.75295,             0.60191,            0.038217,            0.011701,            0.012515,            0.009604,            0.009604,            0.009604
                  46,            0.038385,            0.012389,           0.0054303,             0.78896,              0.7528,             0.75278,             0.60202,            0.038193,            0.011689,            0.012556,            0.009595,            0.009595,            0.009595
                  47,            0.038274,            0.012336,            0.005478,             0.78895,             0.75314,             0.75239,             0.60204,            0.038169,            0.011679,            0.012577,            0.009586,            0.009586,            0.009586
                  48,            0.038356,            0.012405,           0.0055174,             0.78968,             0.75338,             0.75257,             0.60289,            0.038151,            0.011669,            0.012572,            0.009577,            0.009577,            0.009577
                  49,            0.038145,            0.012275,           0.0054224,             0.79005,             0.75387,             0.75295,             0.60323,            0.038129,             0.01166,            0.012586,            0.009568,            0.009568,            0.009568
                  50,            0.038051,            0.012215,           0.0053475,             0.78997,             0.75432,             0.75257,             0.60338,            0.038111,            0.011653,            0.012609,            0.009559,            0.009559,            0.009559
                  51,            0.038171,              0.0123,           0.0055455,             0.78765,             0.75578,             0.75218,             0.60306,             0.03811,            0.011661,            0.012641,             0.00955,             0.00955,             0.00955
                  52,            0.038103,            0.012269,            0.005343,             0.78836,              0.7556,             0.75196,               0.603,            0.038103,            0.011657,            0.012664,            0.009541,            0.009541,            0.009541
                  53,            0.037998,            0.012182,           0.0054106,             0.78935,             0.75605,             0.75228,             0.60339,            0.038078,            0.011648,            0.012668,            0.009532,            0.009532,            0.009532
                  54,            0.037999,            0.012192,           0.0053756,             0.78894,              0.7568,             0.75236,             0.60378,            0.038051,             0.01164,            0.012684,            0.009523,            0.009523,            0.009523
                  55,            0.037966,            0.012193,           0.0053243,             0.78876,             0.75731,             0.75209,             0.60424,            0.038025,            0.011629,            0.012717,            0.009514,            0.009514,            0.009514
                  56,            0.037926,            0.012176,           0.0054507,              0.7893,             0.75781,             0.75229,             0.60477,            0.037995,            0.011619,            0.012729,            0.009505,            0.009505,            0.009505
                  57,             0.03781,            0.012098,           0.0053828,              0.7899,             0.75861,             0.75261,             0.60557,            0.037968,            0.011607,            0.012713,            0.009496,            0.009496,            0.009496
                  58,            0.037855,            0.012136,           0.0053249,             0.79043,             0.75908,             0.75273,             0.60589,            0.037945,            0.011599,            0.012728,            0.009487,            0.009487,            0.009487
                  59,            0.037865,            0.012108,           0.0053498,             0.79115,             0.75912,             0.75258,             0.60611,            0.037917,            0.011591,            0.012742,            0.009478,            0.009478,            0.009478
                  60,            0.037747,            0.012073,           0.0054009,             0.79085,             0.75904,             0.75267,             0.60633,            0.037899,            0.011583,            0.012756,            0.009469,            0.009469,            0.009469
                  61,            0.037842,            0.012129,           0.0053707,              0.7923,             0.75881,              0.7528,             0.60692,            0.037878,            0.011577,            0.012745,             0.00946,             0.00946,             0.00946
                  62,            0.037631,            0.012001,           0.0052215,             0.79237,             0.75893,             0.75281,             0.60724,            0.037859,            0.011571,            0.012766,            0.009451,            0.009451,            0.009451
                  63,            0.037689,            0.012042,           0.0053737,             0.79229,             0.75967,             0.75284,             0.60739,            0.037841,            0.011568,            0.012777,            0.009442,            0.009442,            0.009442
                  64,            0.037756,            0.012104,           0.0053467,              0.7919,             0.75988,             0.75248,             0.60723,            0.037827,            0.011562,            0.012805,            0.009433,            0.009433,            0.009433
                  65,            0.037594,            0.011995,           0.0053443,             0.79298,             0.75998,             0.75237,             0.60742,            0.037812,            0.011557,            0.012841,            0.009424,            0.009424,            0.009424
                  66,            0.037596,            0.012028,           0.0052767,             0.79331,             0.76024,             0.75242,             0.60747,            0.037793,            0.011553,            0.012862,            0.009415,            0.009415,            0.009415
                  67,            0.037505,            0.011949,           0.0052775,             0.79327,             0.76069,             0.75213,             0.60734,            0.037778,            0.011546,            0.012869,            0.009406,            0.009406,            0.009406
                  68,            0.037565,            0.012003,           0.0053393,             0.79267,             0.76164,             0.75211,             0.60759,            0.037762,            0.011542,            0.012878,            0.009397,            0.009397,            0.009397
                  69,            0.037436,            0.011914,           0.0052729,             0.79212,              0.7619,             0.75232,             0.60801,            0.037746,             0.01154,            0.012882,            0.009388,            0.009388,            0.009388
                  70,            0.037469,             0.01195,            0.005236,             0.79217,             0.76179,              0.7522,             0.60824,            0.037727,            0.011533,            0.012882,            0.009379,            0.009379,            0.009379
                  71,            0.037422,            0.011905,           0.0052369,             0.79231,             0.76231,             0.75227,             0.60851,            0.037712,            0.011525,            0.012878,             0.00937,             0.00937,             0.00937
                  72,            0.037374,            0.011881,           0.0052486,             0.79255,             0.76251,             0.75246,             0.60876,            0.037699,             0.01152,            0.012877,            0.009361,            0.009361,            0.009361
                  73,            0.037443,            0.011954,           0.0054105,             0.79177,             0.76322,             0.75262,              0.6092,            0.037687,            0.011518,            0.012882,            0.009352,            0.009352,            0.009352
                  74,            0.037332,             0.01187,           0.0052223,             0.79214,             0.76341,             0.75296,             0.60957,            0.037672,            0.011512,            0.012879,            0.009343,            0.009343,            0.009343
                  75,            0.037311,            0.011852,           0.0051139,             0.79242,             0.76275,             0.75287,             0.60969,            0.037655,            0.011508,            0.012894,            0.009334,            0.009334,            0.009334
                  76,            0.037296,            0.011844,           0.0053385,             0.79295,             0.76312,              0.7529,             0.61007,            0.037638,            0.011501,            0.012885,            0.009325,            0.009325,            0.009325
                  77,             0.03728,            0.011828,           0.0051898,             0.79356,             0.76384,             0.75297,             0.61025,            0.037619,            0.011494,            0.012884,            0.009316,            0.009316,            0.009316
                  78,            0.037196,            0.011781,           0.0051879,             0.79433,             0.76313,              0.7525,             0.60999,            0.037604,            0.011492,            0.012915,            0.009307,            0.009307,            0.009307
                  79,            0.037265,            0.011857,           0.0053554,             0.79445,             0.76342,              0.7529,             0.61031,             0.03759,            0.011488,            0.012897,            0.009298,            0.009298,            0.009298
                  80,            0.037189,            0.011787,           0.0051674,             0.79479,             0.76329,             0.75321,             0.61067,             0.03757,            0.011483,            0.012888,            0.009289,            0.009289,            0.009289
                  81,            0.037157,            0.011785,           0.0052561,             0.79442,             0.76331,             0.75264,             0.61052,            0.037557,             0.01148,            0.012938,             0.00928,             0.00928,             0.00928
                  82,            0.037127,             0.01177,           0.0051982,             0.79465,             0.76267,               0.752,             0.60999,            0.037545,             0.01148,            0.012976,            0.009271,            0.009271,            0.009271
                  83,            0.037124,            0.011746,           0.0052509,             0.79414,             0.76174,             0.75172,             0.60962,            0.037527,            0.011477,            0.013033,            0.009262,            0.009262,            0.009262
                  84,            0.036982,            0.011661,           0.0051052,             0.79471,             0.76103,             0.75112,             0.60933,            0.037511,            0.011473,            0.013075,            0.009253,            0.009253,            0.009253
                  85,            0.037039,            0.011687,           0.0051355,             0.79446,             0.76041,             0.74993,              0.6086,            0.037494,            0.011468,            0.013132,            0.009244,            0.009244,            0.009244
                  86,            0.037084,             0.01175,           0.0053374,             0.79359,             0.75992,             0.74949,             0.60838,            0.037476,            0.011462,             0.01317,            0.009235,            0.009235,            0.009235
