               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,            0.048705,            0.016906,           0.0090788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086496,           0.0086496,           0.0086496
                   4,            0.046306,            0.016053,           0.0078217,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086496,           0.0086496,           0.0086496
                   5,            0.044321,            0.015249,           0.0070169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081995,           0.0081995,           0.0081995
                   6,            0.043091,             0.01473,           0.0065496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077493,           0.0077493,           0.0077493
                   7,            0.042158,            0.014285,           0.0062136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072992,           0.0072992,           0.0072992
                   8,            0.041425,            0.013942,           0.0060048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068491,           0.0068491,           0.0068491
                   9,            0.040722,            0.013593,           0.0057729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006399,            0.006399,            0.006399
                  10,            0.040096,            0.013283,           0.0056274,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059488,           0.0059488,           0.0059488
                  11,            0.039489,            0.012987,           0.0054804,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054987,           0.0054987,           0.0054987
                  12,              0.0389,            0.012644,           0.0052758,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050486,           0.0050486,           0.0050486
                  13,            0.038267,            0.012317,             0.00513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045984,           0.0045984,           0.0045984
                  14,             0.03761,            0.011949,            0.005001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041483,           0.0041483,           0.0041483
                  15,            0.037049,             0.01163,           0.0048746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036982,           0.0036982,           0.0036982
                  16,            0.036315,            0.011196,           0.0047459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032481,           0.0032481,           0.0032481
                  17,            0.035623,            0.010787,           0.0045941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027979,           0.0027979,           0.0027979
                  18,            0.034869,            0.010321,           0.0044464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023478,           0.0023478,           0.0023478
                  19,            0.034026,           0.0097672,           0.0042955,             0.77245,             0.75785,             0.75498,               0.595,            0.038888,            0.011938,            0.012248,           0.0018977,           0.0018977,           0.0018977
                   0,            0.095262,            0.025124,            0.051828,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.075298,            0.003278,            0.003278
                   1,            0.078545,            0.021754,            0.028004,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043147,            0.006265,            0.006265
                   2,            0.072612,            0.020393,            0.016014,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010703,           0.0089594,           0.0089594
                   3,            0.067912,            0.019006,            0.011644,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086614,           0.0086614,           0.0086614
                   4,            0.065321,            0.018221,            0.010479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086614,           0.0086614,           0.0086614
                   5,            0.063309,            0.017521,           0.0096224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082152,           0.0082152,           0.0082152
