               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045837,            0.026388,           0.0065996,             0.78769,             0.81746,             0.82032,             0.65041,            0.044711,            0.029565,            0.010282,            0.010199,            0.010199,            0.010199
                  38,            0.045671,            0.026128,           0.0065606,             0.78797,              0.8169,             0.82014,             0.65022,            0.044704,            0.029581,            0.010282,            0.010189,            0.010189,            0.010189
                  39,            0.045572,            0.025901,           0.0065416,             0.78878,             0.81661,             0.82051,             0.65051,            0.044692,             0.02958,            0.010271,             0.01018,             0.01018,             0.01018
                  40,            0.045649,            0.026084,            0.006562,             0.78906,              0.8165,             0.82073,             0.65086,            0.044679,            0.029572,            0.010266,             0.01017,             0.01017,             0.01017
                  41,             0.04545,            0.025787,           0.0065242,             0.78935,             0.81668,             0.82076,             0.65114,            0.044664,            0.029567,            0.010264,            0.010161,            0.010161,            0.010161
                  42,            0.045357,            0.025642,           0.0065067,             0.78922,              0.8174,             0.82055,             0.65146,            0.044646,            0.029563,            0.010261,            0.010151,            0.010151,            0.010151
                  43,            0.045243,              0.0254,           0.0064842,             0.78869,             0.81769,             0.82046,             0.65155,            0.044633,            0.029563,            0.010262,            0.010142,            0.010142,            0.010142
                  44,            0.045276,            0.025522,           0.0065002,             0.78858,             0.81801,             0.82043,             0.65152,            0.044615,            0.029561,            0.010265,            0.010132,            0.010132,            0.010132
                  45,            0.045119,            0.025253,           0.0064641,              0.7886,             0.81831,             0.82014,             0.65148,            0.044602,             0.02957,            0.010269,            0.010123,            0.010123,            0.010123
                  46,            0.045054,            0.025187,           0.0064538,             0.78984,             0.81746,             0.81987,             0.65128,            0.044594,            0.029583,            0.010279,            0.010113,            0.010113,            0.010113
                  47,             0.04496,             0.02503,            0.006443,             0.79032,             0.81703,             0.81976,              0.6514,            0.044583,            0.029589,            0.010283,            0.010104,            0.010104,            0.010104
                  48,            0.045071,            0.025323,           0.0064587,              0.7899,             0.81778,             0.81987,             0.65163,             0.04457,            0.029586,            0.010281,            0.010094,            0.010094,            0.010094
                  49,            0.045067,            0.025235,           0.0064521,             0.79065,             0.81728,             0.81979,             0.65182,            0.044561,            0.029582,            0.010279,            0.010085,            0.010085,            0.010085
                  50,            0.044982,            0.025181,           0.0064408,             0.79007,             0.81711,             0.81944,              0.6518,            0.044549,            0.029578,            0.010296,            0.010075,            0.010075,            0.010075
                  51,            0.045021,            0.025213,           0.0064478,              0.7894,             0.81758,             0.81915,             0.65161,            0.044536,            0.029568,             0.01031,            0.010066,            0.010066,            0.010066
                  52,            0.044997,            0.025192,           0.0064391,             0.79042,             0.81714,             0.81901,             0.65169,             0.04452,            0.029562,            0.010317,            0.010056,            0.010056,            0.010056
