               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045569,            0.020037,           0.0068314,             0.79405,             0.78039,             0.77643,             0.62234,            0.040424,            0.020267,            0.016127,            0.009676,            0.009676,            0.009676
                  38,            0.045402,            0.019789,           0.0067906,             0.79399,             0.78027,             0.77626,             0.62253,              0.0404,            0.020266,            0.016166,            0.009667,            0.009667,            0.009667
                  39,            0.045324,             0.01961,           0.0067946,             0.79397,             0.78023,             0.77617,             0.62272,            0.040374,            0.020262,            0.016182,            0.009658,            0.009658,            0.009658
                  40,            0.045307,            0.019628,           0.0068169,             0.79424,             0.77948,             0.77536,             0.62227,            0.040346,            0.020257,            0.016219,            0.009649,            0.009649,            0.009649
                  41,             0.04521,            0.019647,           0.0069265,             0.79417,             0.77843,              0.7749,             0.62212,            0.040317,            0.020264,            0.016241,             0.00964,             0.00964,             0.00964
                  42,            0.045428,            0.019918,           0.0069781,             0.79446,             0.77783,             0.77489,              0.6224,            0.040291,            0.020279,            0.016237,            0.009631,            0.009631,            0.009631
                  43,            0.045375,            0.019882,           0.0069895,              0.7945,             0.77675,             0.77456,             0.62241,            0.040271,            0.020285,            0.016255,            0.009622,            0.009622,            0.009622
                  44,            0.045279,            0.019734,           0.0067866,             0.79375,             0.77636,             0.77356,             0.62211,            0.040249,            0.020282,            0.016304,            0.009613,            0.009613,            0.009613
                  45,            0.045028,            0.019391,           0.0067318,             0.79386,              0.7754,             0.77292,             0.62189,            0.040229,             0.02028,            0.016345,            0.009604,            0.009604,            0.009604
                  46,            0.044995,            0.019342,           0.0067375,             0.79273,             0.77552,              0.7723,             0.62173,            0.040202,            0.020281,            0.016407,            0.009595,            0.009595,            0.009595
                  47,            0.044887,            0.019214,           0.0067327,             0.79172,             0.77603,             0.77189,             0.62195,            0.040179,            0.020286,             0.01645,            0.009586,            0.009586,            0.009586
                  48,            0.044928,            0.019267,            0.006758,             0.79204,             0.77507,             0.77189,             0.62211,            0.040158,             0.02027,            0.016509,            0.009577,            0.009577,            0.009577
                  49,            0.044914,            0.019302,           0.0069405,             0.79272,             0.77521,             0.77195,             0.62267,            0.040138,            0.020265,            0.016526,            0.009568,            0.009568,            0.009568
                  50,            0.044963,             0.01944,           0.0069782,             0.79309,             0.77486,             0.77204,             0.62331,            0.040114,            0.020257,            0.016505,            0.009559,            0.009559,            0.009559
                  51,            0.044909,            0.019361,           0.0067947,             0.79357,             0.77473,             0.77229,             0.62357,            0.040085,            0.020247,            0.016493,             0.00955,             0.00955,             0.00955
                  52,            0.044784,            0.019138,           0.0067315,             0.79449,             0.77502,             0.77247,             0.62398,            0.040068,            0.020236,            0.016496,            0.009541,            0.009541,            0.009541
                  53,            0.044609,            0.018997,            0.006675,             0.79579,             0.77412,             0.77218,             0.62387,            0.040048,             0.02023,            0.016507,            0.009532,            0.009532,            0.009532
                  54,            0.044639,            0.019022,           0.0066671,             0.79488,             0.77512,             0.77154,             0.62351,            0.040028,            0.020232,            0.016538,            0.009523,            0.009523,            0.009523
                  55,            0.044621,            0.018988,           0.0066967,             0.79503,             0.77482,             0.77081,             0.62345,             0.04001,            0.020237,             0.01657,            0.009514,            0.009514,            0.009514
                  56,            0.044667,            0.019066,           0.0068934,             0.79502,             0.77573,             0.77046,             0.62342,            0.039993,            0.020236,            0.016597,            0.009505,            0.009505,            0.009505
                  57,            0.044764,            0.019239,           0.0068993,             0.79537,              0.7745,             0.77005,             0.62315,            0.039974,            0.020235,            0.016601,            0.009496,            0.009496,            0.009496
                  58,            0.044691,            0.019159,           0.0067841,             0.79561,             0.77409,             0.76993,             0.62353,            0.039953,            0.020234,            0.016575,            0.009487,            0.009487,            0.009487
                  59,            0.044493,            0.018885,            0.006692,              0.7955,             0.77406,             0.76976,             0.62356,            0.039938,            0.020246,            0.016587,            0.009478,            0.009478,            0.009478
                  60,            0.044373,            0.018695,           0.0066424,              0.7949,             0.77313,              0.7691,              0.6231,            0.039924,             0.02025,            0.016615,            0.009469,            0.009469,            0.009469
                  61,            0.044261,            0.018629,           0.0066325,              0.7947,             0.77291,             0.76892,             0.62338,            0.039904,            0.020236,            0.016627,             0.00946,             0.00946,             0.00946
                  62,            0.044616,             0.01919,           0.0070921,             0.79529,             0.77147,             0.76818,             0.62318,            0.039885,            0.020224,            0.016645,            0.009451,            0.009451,            0.009451
                  63,            0.044468,             0.01887,           0.0067205,             0.79482,             0.77089,             0.76761,             0.62303,            0.039865,            0.020217,            0.016651,            0.009442,            0.009442,            0.009442
                  64,            0.044257,            0.018525,           0.0066209,             0.79431,             0.77084,             0.76727,             0.62294,            0.039851,            0.020214,            0.016662,            0.009433,            0.009433,            0.009433
                  65,            0.044261,            0.018599,           0.0066317,             0.79416,             0.77072,              0.7674,             0.62332,            0.039832,            0.020231,            0.016662,            0.009424,            0.009424,            0.009424
                  66,             0.04429,            0.018612,           0.0067013,             0.79351,              0.7706,             0.76686,             0.62313,            0.039818,            0.020257,            0.016695,            0.009415,            0.009415,            0.009415
                  67,            0.044333,            0.018759,           0.0068202,             0.79369,             0.77156,             0.76704,             0.62357,            0.039801,            0.020275,            0.016678,            0.009406,            0.009406,            0.009406
                  68,            0.044256,            0.018654,           0.0066571,             0.79357,             0.77094,             0.76662,             0.62382,            0.039778,            0.020285,            0.016711,            0.009397,            0.009397,            0.009397
                  69,            0.044133,            0.018451,           0.0066222,              0.7922,             0.77118,             0.76616,             0.62364,            0.039762,            0.020257,            0.016765,            0.009388,            0.009388,            0.009388
                  70,            0.044075,            0.018317,           0.0066504,             0.79137,             0.77124,              0.7656,             0.62336,            0.039743,            0.020231,            0.016826,            0.009379,            0.009379,            0.009379
                  71,            0.044272,            0.018827,           0.0069421,             0.79067,             0.77017,             0.76491,             0.62289,            0.039724,            0.020226,            0.016872,             0.00937,             0.00937,             0.00937
                  72,            0.044229,            0.018666,           0.0067291,             0.79014,              0.7695,             0.76418,             0.62262,            0.039709,             0.02021,             0.01695,            0.009361,            0.009361,            0.009361
                  73,            0.044147,            0.018507,           0.0066421,             0.78928,             0.76936,             0.76388,             0.62255,            0.039694,            0.020209,            0.017007,            0.009352,            0.009352,            0.009352
                  74,            0.044009,            0.018349,           0.0065778,             0.78966,             0.76861,             0.76337,             0.62216,            0.039683,            0.020223,            0.017074,            0.009343,            0.009343,            0.009343
                  75,            0.043964,            0.018306,           0.0065866,             0.78819,             0.76863,             0.76276,             0.62194,            0.039675,            0.020235,            0.017138,            0.009334,            0.009334,            0.009334
                  76,            0.043911,            0.018234,           0.0065855,             0.78809,             0.76819,              0.7626,             0.62186,            0.039666,            0.020224,            0.017193,            0.009325,            0.009325,            0.009325
                  77,            0.043879,            0.018138,           0.0065937,             0.78739,             0.76762,             0.76196,             0.62161,            0.039655,            0.020215,            0.017232,            0.009316,            0.009316,            0.009316
